order,level_0,index,ID,int,vector
12,3944,3944,20974,199791907220223502808591453075120601554349918162788282190164271449219308320764029833378497147864101214839184219219472840165806123984170167799119872,00000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000010000000000100000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,1003,1003,17975,3196670515523576044934924793637473464926180811742579785493897260735034542758775404402085150821888593508319963187864827061566267804826213534811553792,00000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000100000000000100000010110000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,5598,5598,14602,744282853678706744693039136026971832207582914106582288200846061346780803400217039433160236778867091095752336884619155124155393994286694400,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000001000000010000000011010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15,7528,7528,20038,11908525658859228583207876515676632455482425852637312621797764796797047777480334094523722683825666788522769434016673415429194270370214969344,00000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000001000000100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,4871,4871,17912,48777321098687378657646329843033177314539253652824567302503485768608266818252768348741698960298998890586219340969336802162133532511537471684608,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000100000000000100000000010110000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,2549,2549,11210,97554642197374757272982505520525943664552950015811977201173576324993936523951585946357904888000470802836143995034384636679237747225053112565760,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000010000000010000011010000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,7030,7030,8754,6243497100631984462932426078721575296283181432145919783509221189244120338365033212249717311449811078108549509835470820100518392656784052562427904,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000000100000000000000100000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,2491,2491,17798,99895953610111751404380346845891381599104010195973811263200436734966890455768063639304759203501459672997790985211912709322741155518745837406519296,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000100000000000000100100000110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,1072,1072,16108,354901890077797355786471485753972742179757900769574603224238599319681489417582262694196184616358810719868316945659056362452919779328,00000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100100000000000010000000010110000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,29,29,23564,780437137578998057930014471463293898652093314897509327272457301221953842836885872897926847264516302864327551247713017474973403525343454213177344,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000001000000000010010000110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,1771,1771,18734,799167628880894011233858121155063340538360089496039773532580644029982971852584442682955151146092748695446846637991101876309965236031478275036413952,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000100010000000010110000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,5599,5599,1925,6243497100631984462932424787911852302400042437884564139603055027690008779724785186696964762970539773022768175206468763169695607861141041439571968,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000010000000000010000000010110000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,351,351,4763,3121748550315992232735439856397323832971367363101944945355431537897411845571629859509150670918718586180677973165966201118625619920571040417185792,00000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000001000010000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
25,5653,5653,25812,363419362317033813632619890383639299406948173075686457587701767818404505687542243387474524368561848092609118366828159376891994274004992,00000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100000010000000000000010000011010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,7295,7295,6523,6243497100631984462932424797683549839105873282529767004725372075427883332396247425624176601406248623862505464986351281223016462702074863430926336,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000010000000000000000010001001010000000001000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,1676,1676,24970,744282853678870686290865537263756280210359146792973363614812203325457728672721448856661718375827185477927601389069491956915728850769412096,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000001100000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28,5828,5828,26880,1524291284333980750959623532663586991190417930154262993034027603211577809722186062399942412574467435299700502008259179953826046824660548452352,00000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000001000000000000010000100000000010100000001001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
29,7275,7275,13702,25573364124188608359478213736793628680935074576220401367736479835231841638501778422475814916248555615912284879995233644541974526832912243549158768640,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000010000001000000000000100000010110000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,6062,6062,23341,95268205270873955588408980605051948721785271242453430202791834406126620359432798702938117655706339762455624209916643050006951303287907811328,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000100000000010000000000010000000010110000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31,3234,3234,13488,799167628880894011233858121157582606309542061510674863094555828086118894626811664547184761472199318230414498155973814998013778655044624731812659200,00000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010000100000000000000010001001010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
32,6492,6492,26681,709803446983699135608823686329658882240482639061524826302063910608257077872971456218444127078843453390731116511744547981284664672256,00000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100000001000000010000000011010000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,3912,3912,15152,1560874275157996115733147512897208453744656145753335102583885190277438861620502418372139450421814923119343531912211283290581743479728585404579840,00000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000010000000000100000001000110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
34,6916,6916,6208,195109284394749515815192450954352526311908554570745612224675360122488516694960673395275716049488764222409500978819774505127472816823147335516160,00000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000010000010000000000010000000010100000000101000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35,250,250,21014,744282853680055308875589520755604524352656556577845063361859511401178708550974422612043583689158665771826500662503011224814275688606466048,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000010000000000100000000010110000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,4931,4931,3148,47634102635437062414532995133563414033030934948441303635814481356248337655121379696145114013877853417885012056849426286549687594688907837440,00000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000010000000000100000010000110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37,5648,5648,31212,47634102635436935489204737527745506675635873483616430850018426163039125717162272779317900789783450838820640231450371943664653731229253763072,00000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000100000000000100000000010110000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
38,2037,2037,29633,6243497100631984462932425110377871013692460311176228710344997122031586486574044585638242515171698760011465848917820235057039728575794990500806656,00000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000010010000000000000001000010000100100000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
39,1504,1504,23950,48777321098687379292258768757348445200901785142390624017492987637581924013225583241438451458583486541896128760209647392333623155957675321196544,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000001100000000010110000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40,1487,1487,15694,780437137578998058014629645545508804045826532866067483019804121309003424500414671988608029168159730557455897237943947307108621145885122555281408,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000001000000010000000010110000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
41,1979,1979,21348,1598335257761788022467383071392976409575528159194889077540592987051627391424639138444656173340057005664304406519363489160877949047022837192330313728,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000001000000000100010001010000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42,260,260,29880,5814709794534085613795511484867513447180470609860652203666117227605866404728298646540396692203470056064357573541186550877829291040571392,00000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000100000000000100000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
43,302,302,15427,195109284394749514630580316262993915872764556267899376785686526121623224519253752477547538402285639877243232340562412082564937729441123998367744,00000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000010000000010000000010110000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
44,3479,3479,20792,99895953610111751404380341681470429437679619842560025337361093442390168182352728986291822632218022307280296951558280160518475939169955421452500992,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000100010000000010110000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
45,528,528,27091,48777321098687378637152303685596427292735051144222663553928603961262548134186333374286495459722394017736660299128232080135471520591938255323136,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000010000000000100000000010110000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
46,6219,6219,15530,99895953610111751404380342004172860186150404591125362844945173108143466159197617968869680014317519224530886903159190082224575250398368656946888704,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000100010000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
47,3230,3230,19560,399583814440447005616865599214613488677264010229316791292418701659437186594891285120527105988921950566268500879359359890173550069813534896013967360,00000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010010000000000000000100000011010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
48,6482,6482,18765,1598335257761788022468731626860433455760844361251235518418904898993034798646528324449509836629590408880950896974103821111346242581225137646761672704,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000100000000000100000010110000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
49,2531,2531,11165,97554642197374757399905241461041091484531250420810298182203968658945798049197774946891195323215082493538205582382434241921395734966217199321088,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000100010000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
50,3502,3502,19319,24388660549343689476909385367575100729709865522649571795746082838597299527107400732470102330742798951634557501262350293934913945147891072892928,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000100000000010000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
51,4935,4935,8503,48777321098687378784567784730747115633561474737064475078336538082833438294409586533967139216847234176769164522300165767241142818599827224395776,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010001000000010000000000100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52,2377,2377,9823,195109284394749515138271179250941804543995372715855442778616911174302794857717500901476006613923162891189389285888892726783855751350347685167104,00000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000010000010000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
53,4437,4437,8831,1598335257761788022467547014564361330271522529019240790759983828399841650118600331841336849806551427025216050296897047148543870036370268784896770048,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000010000000000000100000011010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
54,7471,7471,25065,48777321098687378784567784883429889644590081684646244347194520880723992780481087764255235665689107801320087750003638595659154979229449800646656,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000010000100000000010110000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
55,581,581,12912,3048582568667961205766173677727898445691862484258316278932069217903990349645401108234783922224263008479218032161833814679300681254309080334336,00000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000100000000000100000000010110000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
56,4734,4734,25720,6097165137335922496147510257351444058183466452899113438784969403134191796250972128696281775052573941803356696599811517680034414645246185963520,00000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000001000010000000000000100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
57,3947,3947,15808,390218568789499029091929991821363015827251765032947139826872889889404684352287302011323010018501187743107996556493465134919436066232500809105408,00000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000010000000000000000100000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
58,4173,4173,6562,381072821083495314662974672128388316571227767998964183212272807935265921427081817784271477841356202348727768398933494237586500571832772460544,00000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000001100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
59,1918,1918,358,1524291284333980750960914657602629271213954502825606172297456117601698319322299136071633450222379368809649798700601126195932337770543787802624,00000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000010000000000000000001000011010000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
