age,workclass,fnlwgt,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours,na�ve-country
28,4,18,10,1,1,2,5,1,1,1,40,39
53,4,16,9,3,1,6,5,1,1,1,40,39
49,5,19,10,3,4,1,5,2,1,1,50,39
25,9,20,10,5,8,4,5,2,1,1,40,39
19,4,10,10,5,10,4,5,2,1,1,32,39
31,4,30,13,6,12,4,3,1,1,1,40,39
29,6,16,13,3,12,1,5,2,1,1,70,39
23,4,21,10,5,7,2,5,2,1,1,40,39
79,4,12,10,3,10,3,5,2,1,1,20,39
27,4,21,9,5,8,4,5,2,1,1,40,26
40,4,3,12,3,1,1,5,2,1,1,40,39
67,9,21,6,3,8,1,5,2,1,1,2,39
18,4,30,7,5,8,4,5,1,1,1,22,39
31,2,12,4,3,5,1,5,2,1,1,40,39
18,4,44,9,5,12,2,5,2,1,1,30,39
52,4,27,13,3,8,1,5,2,1,1,40,5
46,4,5,9,3,8,6,5,1,1,1,40,39
59,4,15,9,3,12,1,5,2,1,1,48,39
44,4,34,9,1,3,2,5,1,9,1,40,39
53,4,34,9,1,12,4,5,1,1,1,35,39
49,2,26,9,3,11,1,5,2,1,1,40,39
33,4,20,14,3,10,1,5,2,1,1,50,39
30,4,5,5,5,12,2,5,2,1,1,40,39
43,1,41,16,5,10,2,5,1,1,1,50,39
57,4,24,11,3,10,1,5,2,1,1,40,39
37,4,28,10,1,3,5,5,1,1,1,40,39
28,4,21,10,1,7,5,3,1,1,1,25,39
30,4,11,9,3,12,6,2,1,1,2,35,42
34,2,22,13,3,11,1,5,2,1,1,40,39
29,2,11,10,5,6,2,5,2,1,1,50,39
48,6,19,16,3,10,1,5,2,1,2,60,39
37,4,20,10,3,12,1,5,2,1,1,48,39
48,4,17,12,1,4,5,5,1,1,1,40,9
32,1,24,9,5,8,4,3,2,1,1,40,39
76,4,12,14,3,4,1,5,2,1,1,40,39
44,4,19,13,3,4,1,5,2,9,1,60,39
47,6,14,14,5,10,2,5,1,1,1,50,39
20,4,18,10,5,13,4,5,1,1,1,40,39
29,4,10,9,5,3,2,5,2,1,1,40,39
32,5,31,9,3,3,1,5,2,8,1,40,39
17,9,30,6,5,8,4,5,1,10,1,32,39
30,4,19,7,5,6,4,5,2,1,1,40,39
31,2,18,9,5,1,2,5,1,1,1,40,39
42,4,12,9,3,6,1,5,2,1,1,40,39
24,4,43,13,5,12,3,5,2,1,1,40,39
38,4,6,15,3,10,1,5,2,1,1,40,39
56,6,33,9,3,8,1,5,2,1,2,50,2
28,4,37,10,3,12,6,5,1,5,1,25,39
36,4,10,9,5,7,4,5,1,1,1,40,39
53,4,9,5,3,6,1,5,2,1,1,50,39
56,5,30,10,3,12,1,5,2,1,1,50,39
49,2,19,11,3,3,1,3,2,1,1,40,39
55,4,24,10,3,12,1,5,2,1,1,56,39
22,4,10,9,5,3,2,5,2,1,1,41,39
21,4,19,10,5,8,4,5,1,1,1,40,39
40,4,11,13,3,4,1,5,2,1,1,60,39
30,4,7,13,5,4,4,3,2,1,1,40,11
29,7,26,13,3,10,1,5,2,1,1,50,39
19,4,30,10,5,8,4,3,2,1,1,35,39
47,4,28,13,3,4,6,5,1,1,1,40,39
20,4,11,10,5,1,4,5,1,1,2,28,39
31,4,11,12,3,1,1,5,2,1,1,40,39
35,9,12,9,3,8,1,5,2,1,1,40,39
39,4,36,10,1,3,2,5,2,1,1,40,39
28,4,6,12,5,12,2,5,1,1,1,60,39
24,4,4,9,5,8,2,5,1,1,2,40,39
38,6,12,9,3,3,1,5,2,5,1,35,39
37,4,25,13,3,12,1,5,2,1,1,50,39
46,4,14,12,1,13,2,3,1,1,1,36,39
38,1,12,14,3,10,1,5,2,1,1,40,20
43,6,5,9,3,3,1,5,2,1,1,60,39
27,4,16,11,3,1,6,5,1,1,1,35,39
20,4,3,10,5,12,4,5,2,1,1,20,39
49,4,8,10,3,3,1,2,2,1,1,40,39
61,5,6,9,3,3,1,5,2,1,1,40,39
27,4,23,10,5,12,4,5,1,1,1,40,39
19,4,31,10,5,8,4,5,2,1,1,30,26
45,4,19,11,5,10,2,5,1,1,2,40,39
70,4,10,10,5,13,3,5,2,1,1,40,39
31,4,18,9,5,14,5,3,1,1,1,30,39
22,4,17,10,3,8,1,5,2,1,1,24,39
36,4,10,9,7,8,5,5,1,1,1,24,39
64,4,18,7,3,3,1,5,2,1,3,40,39
43,9,17,10,1,8,2,5,1,1,1,40,39
47,2,18,10,1,1,5,5,1,1,1,38,26
34,4,19,9,5,1,2,5,1,1,1,40,39
33,4,16,13,5,4,3,2,1,1,1,40,30
21,4,29,9,5,3,4,5,2,1,1,35,39
52,9,25,9,1,8,2,5,2,1,1,45,39
48,4,18,9,3,3,1,5,2,1,1,46,39
23,4,21,13,5,6,2,5,2,1,1,40,39
71,6,49,10,6,12,5,3,2,1,2,2,39
29,4,19,9,1,3,2,5,2,1,1,60,39
42,4,22,13,6,8,3,3,2,1,1,50,39
68,9,3,2,1,8,2,5,1,1,1,20,39
25,4,25,9,5,8,5,5,1,1,1,40,39
44,5,7,14,1,4,5,2,1,1,1,40,39
28,4,8,9,5,4,2,2,1,1,1,40,9
45,6,20,14,3,12,1,5,2,1,1,40,39
36,4,20,10,1,8,5,5,1,1,1,40,26
39,1,23,12,5,4,2,5,2,1,1,42,39
46,7,10,14,7,11,5,5,2,1,1,40,39
18,4,2,7,5,6,4,5,2,1,1,16,39
66,2,5,11,7,10,2,5,1,1,1,20,39
27,4,12,9,5,8,2,5,2,1,2,40,39
28,7,17,9,3,11,1,5,2,1,1,40,39
51,4,9,10,3,12,1,5,2,1,2,40,39
27,4,42,13,5,3,2,5,2,1,1,50,39
28,7,14,13,3,10,1,5,2,1,1,40,39
27,4,25,9,4,12,5,5,1,1,1,25,39
21,4,31,9,5,3,4,3,2,1,1,40,39
34,4,48,9,5,6,2,3,2,1,1,40,39
18,4,18,9,5,8,4,5,2,1,1,12,39
33,4,3,13,3,10,1,5,2,1,1,65,39
44,2,18,10,3,4,1,3,2,1,1,38,39
43,4,11,10,1,1,2,5,1,1,1,40,39
30,4,63,10,5,3,2,3,2,1,1,45,39
40,4,28,4,3,7,1,5,2,1,1,40,26
37,1,2,10,3,1,1,5,2,1,1,42,39
34,4,30,9,3,1,1,3,2,1,1,40,39
41,6,14,13,1,4,2,5,1,1,1,40,39
53,9,13,13,1,8,2,5,1,1,1,50,39
31,4,9,14,3,10,6,5,1,1,1,50,39
58,7,10,16,3,10,1,5,2,1,1,1,39
38,4,15,10,1,7,2,3,1,1,1,28,39
24,4,15,10,3,7,1,5,2,1,1,40,39
41,2,52,13,3,3,1,3,2,1,1,40,39
47,4,12,10,3,13,1,5,2,1,1,45,39
41,1,13,13,3,13,1,5,2,1,1,24,39
23,4,19,3,3,14,3,5,2,1,1,40,26
36,4,9,10,1,3,2,5,2,1,1,40,39
40,1,5,14,5,4,2,5,1,9,1,55,39
35,4,13,14,3,10,3,5,2,8,1,40,39
24,6,3,9,5,12,2,5,2,1,1,40,39
26,4,39,14,5,10,2,5,1,1,2,40,39
19,9,17,9,5,8,4,5,2,1,1,40,22
51,4,25,13,3,4,1,5,2,1,1,50,39
42,2,25,10,5,10,2,5,1,1,2,40,39
37,7,4,9,1,1,5,5,1,1,1,35,39
18,4,14,7,5,12,4,5,1,1,1,40,39
36,4,12,13,3,8,1,3,2,8,1,36,39
35,4,3,9,1,3,2,5,2,1,1,60,39
58,5,21,9,3,12,6,5,1,9,1,35,39
17,4,6,7,5,12,4,5,1,1,1,12,39
44,2,16,9,3,14,1,3,2,1,1,40,39
37,4,20,9,3,3,1,5,2,1,1,40,39
35,4,15,10,5,12,2,1,1,1,1,40,39
60,4,8,9,3,3,1,2,2,1,1,40,39
54,5,12,4,3,7,1,5,2,1,1,40,39
37,4,63,13,5,4,2,3,2,1,1,60,39
50,4,31,12,1,12,2,5,1,1,1,40,39
38,4,18,13,3,12,1,5,2,1,1,50,31
45,4,10,13,3,10,1,5,2,1,1,55,39
25,4,25,6,5,3,2,5,2,1,1,40,39
31,4,19,10,3,6,1,5,2,1,1,40,39
64,9,18,2,1,8,2,5,2,1,1,40,39
90,4,5,9,5,8,2,3,2,1,3,40,39
54,4,17,9,3,1,1,3,2,1,1,20,39
53,2,14,1,5,7,2,5,1,1,1,35,39
18,4,24,9,5,12,4,5,1,1,1,40,39
60,9,2,6,1,8,2,1,1,1,1,10,39
66,6,16,9,3,5,1,5,2,2,1,50,39
75,4,31,11,7,1,2,5,1,1,1,20,4
65,4,17,9,1,1,2,5,1,1,1,40,39
35,4,53,7,6,14,2,3,2,4,1,40,39
41,4,13,9,1,12,5,3,1,1,1,38,39
25,4,15,10,5,1,2,5,2,1,1,42,39
33,4,11,10,1,3,3,4,1,1,1,40,39
28,4,7,15,5,10,2,5,2,1,1,55,39
59,7,26,9,3,8,1,5,2,1,1,40,39
40,7,17,10,5,1,2,5,1,1,1,38,39
41,4,18,13,3,4,1,5,2,1,1,50,20
38,2,11,14,3,4,1,5,2,1,1,70,39
23,4,11,9,5,14,4,5,2,1,1,40,39
40,4,34,13,3,10,1,5,2,1,1,40,39
41,6,19,9,3,8,6,5,1,1,1,20,39
24,7,27,12,3,11,1,5,2,1,1,50,39
20,9,11,10,5,8,4,5,2,1,1,20,39
38,4,17,10,1,3,2,5,2,1,2,40,39
56,4,20,9,3,1,1,5,2,1,1,35,42
58,4,23,9,3,1,1,5,2,1,1,45,39
32,4,18,9,5,8,2,5,1,1,1,34,39
40,4,20,12,3,13,1,5,2,1,2,60,39
45,4,15,9,3,1,1,5,2,1,1,40,42
41,4,11,15,3,10,6,5,1,1,1,40,39
42,4,39,13,3,1,6,3,1,1,1,40,39
59,2,17,6,7,8,5,3,1,1,1,30,39
19,2,2,10,5,1,4,5,2,1,1,40,39
58,4,25,10,5,14,2,5,2,1,1,20,39
42,6,30,9,3,5,1,2,2,1,1,40,1
20,4,11,9,5,8,4,5,1,1,1,40,39
32,4,17,9,6,8,2,5,1,1,1,30,39
45,4,18,11,7,4,2,5,1,1,1,45,39
50,4,20,4,1,3,2,5,2,1,1,40,39
36,4,15,13,1,10,4,5,1,1,1,40,39
45,4,9,9,3,12,1,5,2,1,1,60,39
17,4,24,7,5,8,4,5,2,1,1,12,39
59,4,14,10,3,12,1,5,2,5,1,40,39
26,4,37,7,3,3,1,5,2,1,1,40,39
37,5,25,10,3,4,1,2,2,1,1,75,37
19,9,21,10,5,8,4,5,2,1,1,24,2
64,4,2,9,3,4,1,5,2,1,1,40,39
33,4,18,13,5,10,2,5,1,1,1,45,39
33,4,22,9,3,3,6,5,1,1,1,40,39
61,4,6,9,3,4,1,5,2,1,1,40,39
17,4,19,5,5,8,4,5,2,2,1,24,39
50,6,3,14,3,5,1,5,2,3,1,98,39
27,2,20,14,5,10,4,5,2,1,1,35,39
30,4,7,9,1,10,4,5,1,1,1,40,39
43,4,47,9,3,6,1,3,2,1,1,40,39
44,4,17,10,3,3,1,5,2,8,1,40,39
35,4,19,10,5,4,2,5,1,1,1,40,39
25,4,19,10,5,13,4,5,1,1,1,40,39
24,4,27,10,3,7,6,5,1,8,1,48,39
22,4,3,13,5,10,2,5,1,1,1,15,11
42,2,9,10,3,3,1,5,2,6,1,40,39
34,4,17,12,1,12,5,3,1,1,1,45,39
60,4,17,13,1,10,2,5,1,1,1,42,39
21,4,20,9,5,6,4,5,2,1,1,40,39
57,1,42,14,3,12,1,5,2,9,1,40,39
41,4,22,15,3,10,1,5,2,1,1,60,39
50,4,17,10,1,8,2,5,2,1,1,45,39
25,4,37,13,5,4,2,5,1,1,1,40,39
50,4,19,4,3,3,1,5,2,1,1,40,7
36,4,20,13,3,10,1,5,2,1,1,45,39
31,4,12,9,1,10,2,5,1,1,1,40,39
29,2,22,13,5,11,2,5,2,1,1,56,39
21,4,23,10,5,12,4,5,2,1,1,45,39
27,4,24,13,5,13,5,3,1,1,1,40,39
65,4,11,9,3,14,1,5,2,1,1,16,39
37,5,5,13,1,12,2,5,1,1,1,60,39
39,9,15,14,3,8,6,2,1,4,1,40,42
24,4,27,9,5,3,4,5,2,1,1,40,39
38,4,16,9,1,12,2,5,2,1,1,80,39
48,4,14,13,3,1,1,5,2,8,1,40,39
21,4,15,10,5,8,2,2,1,1,1,25,39
31,4,21,9,3,14,1,5,2,1,1,45,39
55,4,23,9,3,12,1,5,2,5,1,40,39
24,4,30,10,3,1,6,2,1,1,1,40,25
43,4,17,9,1,1,2,5,1,1,1,40,39
26,4,19,12,5,13,2,5,2,1,1,45,39
46,4,8,12,5,10,2,5,1,1,1,33,39
35,4,19,12,3,1,1,5,2,1,1,40,39
41,5,3,10,3,5,1,5,2,1,1,54,39
26,4,5,13,5,12,2,5,2,1,1,40,39
34,4,14,14,3,4,1,2,2,8,1,35,36
19,9,80,10,5,8,4,3,1,1,1,25,39
36,6,20,13,1,10,2,3,1,1,1,40,39
22,4,19,10,5,12,4,5,2,1,1,15,39
24,4,19,10,5,7,2,5,2,1,1,40,39
77,6,13,10,3,12,1,5,2,1,1,40,39
22,4,39,3,3,7,3,5,1,1,1,40,26
29,4,42,10,5,13,2,5,1,1,1,40,39
62,4,15,9,7,8,2,5,1,1,1,24,39
39,6,17,9,3,4,1,5,2,1,1,40,39
43,4,5,10,3,3,1,5,2,1,2,50,39
35,4,18,9,1,14,2,5,2,1,1,45,39
29,4,20,7,5,4,2,5,1,1,1,40,39
76,6,17,14,3,3,1,5,2,1,1,10,39
63,6,7,9,3,5,1,5,2,1,1,45,39
23,9,21,11,5,8,4,3,1,1,1,15,39
43,4,18,10,3,10,6,5,1,1,2,50,39
58,6,32,9,3,6,1,5,2,1,1,40,39
66,4,12,9,5,14,2,5,2,3,1,55,39
41,4,20,10,5,3,2,3,2,1,1,45,39
26,4,22,13,5,1,2,5,2,1,1,40,39
47,4,17,11,5,8,2,5,2,1,1,40,39
55,2,9,6,3,1,1,5,2,1,1,40,39
53,4,24,9,3,14,1,5,2,1,1,40,39
17,4,27,3,5,8,3,5,2,1,1,48,26
30,4,9,9,5,3,3,5,2,1,1,40,39
49,4,7,14,5,10,2,5,2,1,1,60,39
19,4,10,9,5,12,5,3,2,1,1,30,14
45,4,26,9,3,8,1,3,2,1,1,40,39
26,4,9,12,5,12,2,5,2,1,1,40,39
38,4,29,11,3,3,1,5,2,8,1,40,39
36,7,11,9,3,11,1,5,2,8,1,40,39
33,4,8,9,5,5,2,5,2,1,1,20,39
22,7,29,10,5,11,4,3,1,1,1,40,39
43,6,24,13,5,12,2,5,2,1,1,42,39
67,9,3,7,3,8,1,5,2,1,1,8,39
30,9,15,11,1,8,5,5,1,1,1,40,39
56,4,10,12,4,8,2,5,2,1,1,25,20
31,4,15,13,5,10,4,5,2,1,1,25,39
33,4,11,13,3,4,1,5,2,1,1,40,39
26,4,19,9,3,8,1,5,2,1,1,40,39
33,4,11,13,3,4,1,5,2,1,1,40,39
46,2,32,7,3,14,1,5,2,1,1,30,39
59,9,37,13,3,8,1,5,2,1,1,40,39
38,1,9,9,3,1,1,5,2,1,1,40,39
65,4,16,7,7,8,5,4,2,1,1,40,39
40,4,9,11,3,13,1,5,2,1,1,40,39
42,4,11,9,3,1,6,5,1,1,1,35,39
26,6,11,5,3,3,1,5,2,1,1,40,32
36,4,34,6,3,8,6,5,1,1,1,24,39
62,4,27,14,3,10,1,5,2,1,1,40,39
43,4,18,13,3,14,1,5,2,1,1,45,39
43,4,17,13,1,4,2,5,2,1,2,45,39
22,4,41,9,4,12,2,5,2,1,1,55,39
28,4,9,9,3,3,1,5,2,1,1,40,39
56,6,18,10,3,12,1,5,2,1,1,45,39
22,4,36,12,5,12,2,5,1,1,1,15,39
57,4,21,13,1,4,2,5,1,1,1,45,39
39,4,48,9,1,12,5,5,1,1,1,40,39
26,1,18,10,5,1,5,5,1,1,1,15,39
17,4,8,7,5,8,4,5,2,1,1,10,39
40,7,18,11,3,7,1,5,2,1,1,38,39
45,4,25,9,3,7,1,3,2,1,1,40,39
44,4,16,9,5,3,2,3,2,1,1,40,39
20,2,35,10,5,1,4,5,1,1,1,10,39
33,4,26,9,3,3,6,5,1,1,1,40,39
23,4,3,10,5,12,2,5,2,1,1,40,39
46,6,8,14,1,4,2,5,2,1,1,30,39
38,4,17,9,3,12,1,5,2,1,1,50,39
54,4,17,9,1,14,2,5,2,1,1,40,39
46,4,21,3,1,3,2,5,1,1,3,45,39
25,4,34,10,3,3,1,5,2,1,1,40,39
46,4,10,10,1,12,2,5,1,1,1,40,39
36,2,11,10,3,14,6,5,1,1,1,40,39
23,4,39,9,5,8,2,5,1,1,1,25,39
29,4,13,9,6,7,2,5,2,1,1,40,39
44,4,16,10,3,1,6,5,1,1,3,6,39
19,4,2,10,5,1,4,5,1,1,1,16,39
19,4,23,9,5,8,3,5,1,1,1,40,39
35,4,22,9,3,8,6,5,1,1,1,40,39
27,4,30,13,5,3,2,5,2,1,1,50,39
46,6,27,12,6,3,2,5,2,1,1,40,39
34,7,9,13,3,4,1,5,2,8,1,45,42
34,4,19,9,5,8,2,5,1,1,1,35,39
44,4,11,10,3,13,1,5,2,1,1,40,39
45,4,9,10,1,6,5,5,1,1,1,40,39
20,9,13,9,5,8,3,5,1,1,1,35,39
25,4,8,13,3,4,1,5,2,1,1,55,39
52,5,13,13,3,4,1,5,2,1,1,50,39
20,4,41,10,5,6,4,5,2,1,1,40,39
28,4,10,10,5,8,2,5,1,1,1,40,39
50,7,28,13,3,11,1,5,2,1,1,40,39
34,4,22,11,1,13,2,5,1,1,1,64,39
28,4,16,4,3,6,1,4,2,1,3,40,33
41,4,44,14,3,4,1,5,2,1,2,65,39
28,4,11,9,3,1,1,5,2,1,1,40,39
46,6,31,9,3,3,1,5,2,1,1,25,39
28,9,12,10,3,8,6,5,1,1,2,40,39
32,4,36,10,3,4,1,5,2,1,1,50,39
41,2,4,10,1,8,2,3,1,1,1,24,39
24,4,24,9,5,6,5,3,1,1,1,40,39
33,4,11,10,1,4,5,5,1,1,1,40,39
46,4,18,16,3,4,1,5,2,9,1,60,39
31,7,90,10,3,7,1,5,2,1,1,40,39
35,4,9,8,1,3,2,5,2,1,1,50,39
52,4,19,2,3,7,1,5,2,1,1,40,26
30,4,42,7,5,8,4,5,1,1,1,19,39
34,2,24,7,6,7,2,3,2,1,1,40,39
34,7,24,9,1,14,5,5,1,1,1,40,39
20,4,6,10,3,12,1,5,2,1,1,30,39
17,4,17,7,5,6,4,5,2,3,1,18,39
32,7,9,13,3,4,6,5,1,1,1,40,39
29,4,18,9,1,5,2,5,2,1,1,40,39
33,4,22,6,5,3,5,5,1,1,1,35,39
25,4,13,9,3,14,1,5,2,1,1,60,39
36,1,25,14,5,10,2,5,2,1,2,40,39
23,4,20,9,5,6,2,5,2,1,1,72,6
63,5,22,9,3,4,1,5,2,1,1,40,39
47,2,28,14,3,10,1,5,2,1,1,40,39
80,9,10,9,7,8,2,5,2,1,1,24,39
17,9,20,7,5,8,4,5,2,1,1,40,39
40,6,20,13,4,10,2,5,1,3,1,40,39
30,4,2,12,3,8,6,5,1,1,1,25,39
27,4,11,10,5,3,4,2,2,1,2,40,30
33,4,20,14,3,10,1,5,2,1,1,50,39
34,2,28,9,5,5,2,3,2,1,1,60,39
34,2,11,10,5,11,2,5,1,1,1,40,39
23,4,8,10,3,1,1,5,2,1,1,40,39
42,2,34,10,3,1,6,5,1,1,1,40,39
29,4,36,13,5,10,2,5,2,1,1,40,39
45,4,4,9,1,1,2,5,1,1,1,28,39
24,1,19,9,5,2,4,5,2,1,1,40,39
44,4,11,10,3,10,1,5,2,1,1,40,39
27,4,40,5,5,3,3,5,2,1,1,40,26
20,4,29,10,5,12,2,5,2,1,1,35,39
44,4,29,9,7,4,5,3,1,1,1,40,39
51,4,5,9,3,3,1,1,2,1,1,40,39
20,4,14,9,3,7,1,5,2,1,1,40,39
17,9,25,7,5,8,4,5,1,1,1,5,39
19,4,20,9,5,7,4,3,1,1,1,40,39
45,5,19,10,3,3,1,5,2,1,1,55,39
60,4,24,9,3,3,1,5,2,1,1,40,39
42,4,19,12,3,4,1,3,2,1,1,40,42
44,6,23,9,3,12,6,5,1,1,1,40,39
40,4,7,11,3,7,1,2,2,1,1,40,39
30,4,18,9,3,4,6,5,1,1,1,40,39
38,4,35,10,3,14,1,3,2,1,1,50,39
23,4,5,9,3,14,1,5,2,1,1,60,39
32,9,11,10,3,8,1,5,2,1,1,40,39
44,4,11,12,5,5,4,5,2,1,1,40,39
54,2,28,9,3,14,1,3,2,1,1,40,39
32,4,13,13,3,10,1,5,2,1,1,50,39
50,4,19,2,4,3,5,5,2,1,1,40,39
24,4,17,13,5,13,2,5,1,1,1,20,39
37,4,12,9,3,1,6,5,1,1,1,60,39
52,4,3,9,1,14,5,5,2,1,1,40,39
38,4,3,10,3,14,1,5,2,1,1,40,39
49,4,19,14,3,4,1,5,2,1,2,45,39
30,4,11,13,3,13,6,5,1,1,1,16,39
60,4,20,10,5,10,5,5,2,1,1,40,39
22,9,13,10,5,8,4,5,2,1,1,40,39
35,4,28,9,5,3,2,5,2,1,1,40,39
30,4,30,9,5,14,2,5,2,1,1,60,39
67,4,4,11,1,8,2,5,1,1,1,24,39
46,4,27,13,5,3,2,5,1,1,1,40,39
17,4,21,5,5,8,2,5,2,1,1,6,39
22,4,28,10,5,6,4,5,2,1,1,30,39
27,4,16,6,5,8,2,5,2,1,1,40,39
23,4,19,9,5,8,5,5,1,1,1,35,39
33,4,11,12,3,3,1,5,2,1,1,45,32
43,6,17,10,3,3,1,5,2,1,1,20,39
28,7,7,13,5,10,2,5,2,1,1,20,39
41,4,19,9,4,3,5,5,1,1,1,40,39
52,9,27,8,5,8,3,3,2,1,1,40,39
25,4,18,10,4,1,4,3,1,1,1,20,39
63,9,40,2,3,8,1,5,2,1,1,35,39
59,2,28,9,3,14,1,5,2,1,1,45,39
45,2,16,13,1,10,5,5,1,1,1,40,39
38,4,9,13,3,12,1,5,2,9,1,60,39
40,4,34,9,5,8,2,5,1,1,1,35,39
46,1,37,9,1,1,2,5,2,1,1,40,39
35,4,3,12,5,4,2,5,1,1,1,60,39
34,4,18,9,1,10,5,5,1,1,1,25,39
33,4,17,13,5,3,4,5,2,1,1,20,39
41,4,34,9,1,1,5,5,1,1,1,36,39
20,4,26,10,5,7,4,5,2,1,1,40,39
23,4,40,3,5,8,4,5,2,1,1,40,8
26,4,6,10,5,10,2,5,1,1,1,35,39
72,9,30,9,3,8,1,5,2,1,1,20,39
23,2,32,9,5,5,2,5,2,1,1,40,31
62,2,11,9,3,14,1,5,2,1,1,40,39
52,4,4,10,3,1,1,5,2,1,1,40,39
58,4,18,10,1,8,5,5,1,1,1,42,10
25,4,18,13,5,12,2,5,1,1,1,40,39
24,4,38,13,5,4,2,3,2,1,1,40,39
19,4,24,10,5,11,4,5,2,1,1,8,39
43,4,11,10,3,4,1,5,2,1,1,40,39
47,2,54,9,6,1,5,3,1,1,1,40,39
39,4,9,9,1,8,5,5,1,1,1,40,39
49,4,14,11,4,6,5,5,2,1,2,42,39
53,9,25,3,7,8,5,3,1,1,1,30,39
32,4,3,11,5,3,2,5,2,1,1,45,39
34,4,33,10,3,10,1,5,2,1,1,50,39
28,4,18,9,1,3,2,5,2,1,1,45,39
57,9,22,11,7,8,5,5,1,1,1,38,39
25,4,26,10,5,1,2,1,1,1,1,20,39
20,9,21,10,5,8,4,5,2,1,1,24,39
21,9,20,10,5,8,5,5,1,1,1,35,39
34,4,10,13,3,10,1,5,2,1,1,50,39
38,5,9,13,3,4,1,5,2,9,1,80,39
50,4,19,9,3,4,1,5,2,8,1,50,39
24,2,24,10,1,6,2,3,2,1,1,50,39
37,2,18,10,3,13,1,5,2,1,1,45,39
44,4,17,10,1,7,5,5,2,1,1,58,39
28,4,8,10,3,12,6,5,1,1,1,40,39
42,4,22,13,3,4,1,5,2,1,1,40,39
74,4,9,10,1,1,2,5,1,1,1,9,39
38,6,19,9,3,3,1,5,2,1,1,50,39
44,6,20,14,3,10,1,5,2,1,1,40,39
44,4,10,7,1,7,5,4,1,1,1,46,33
26,4,10,9,5,7,2,5,2,1,1,40,39
36,4,19,9,3,8,1,3,2,1,1,40,39
41,4,10,12,3,4,6,5,1,1,1,50,39
