ID,age,workclass,fnlwgt,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours,country
31534,45,4,23,10,3,3,1,5,2,1,1,50,39
12019,22,4,23,10,5,1,4,5,1,1,1,40,39
338,19,4,10,9,5,12,5,3,2,1,1,30,14
17351,49,1,19,12,3,1,1,5,2,1,1,60,39
5885,43,5,13,9,3,3,1,5,2,1,1,40,39
15038,19,4,20,10,5,1,4,5,1,1,1,16,39
32472,34,4,3,14,3,10,1,5,2,1,1,55,39
4001,19,4,37,9,5,7,4,5,2,1,1,42,39
4854,25,4,7,13,5,13,2,2,1,1,2,40,30
21208,21,4,28,9,5,6,2,3,1,1,1,40,39
607,29,4,18,9,5,3,2,1,2,1,1,40,39
18387,51,2,11,13,3,4,1,5,2,1,1,40,39
5739,20,4,32,5,5,9,4,5,2,1,1,40,26
5677,32,4,24,10,5,10,2,5,2,1,1,44,39
7036,49,4,5,10,1,12,5,5,1,1,1,55,9
14677,35,6,21,5,3,3,1,5,2,1,1,50,39
22274,38,4,30,9,1,8,2,5,1,1,1,35,39
24864,57,4,12,10,7,1,5,5,1,1,3,38,39
1344,26,4,19,9,5,12,2,4,2,1,1,40,39
7480,45,4,11,6,3,12,1,5,2,1,1,40,39
21685,31,4,2,5,5,3,4,1,2,1,1,35,39
18809,41,5,22,13,3,4,1,5,2,8,1,40,39
14995,42,4,13,10,1,1,5,5,1,1,1,38,39
1071,38,4,13,9,3,3,1,5,2,1,2,40,39
6216,41,4,15,13,3,10,1,5,2,1,1,50,39
12352,52,4,16,5,7,8,2,5,1,1,1,25,33
12038,39,4,23,10,1,1,2,5,1,1,1,40,39
17127,51,4,20,9,1,12,2,5,2,1,1,45,39
30211,56,6,14,9,3,12,1,5,2,1,1,40,39
30517,23,4,18,10,5,8,4,5,1,1,1,40,6
32201,49,9,11,9,3,8,6,5,1,1,1,60,39
14919,24,4,4,13,3,4,1,5,2,1,1,55,9
6921,48,4,11,9,1,6,5,2,1,1,1,40,35
26800,27,4,11,10,3,3,1,5,2,1,1,55,42
14510,38,4,38,9,5,8,5,3,1,1,1,30,39
26539,59,7,15,5,3,14,1,5,2,1,1,40,39
29059,36,4,18,10,3,14,1,5,2,1,1,40,39
4292,49,4,17,11,5,4,5,5,1,1,1,40,39
26444,43,4,7,9,5,1,2,5,1,1,1,40,39
8334,61,4,15,9,3,1,6,3,1,1,1,40,39
923,38,4,9,10,3,1,6,3,1,1,1,40,39
18957,33,4,17,9,3,12,6,5,1,1,1,20,39
23886,27,4,29,10,3,3,1,5,2,1,1,40,39
15339,41,4,22,13,5,10,2,3,2,1,1,40,39
4040,38,7,22,13,5,4,2,5,1,1,1,40,39
14844,55,7,15,10,3,1,6,5,1,1,1,37,39
16120,63,2,16,13,1,3,2,3,2,1,1,35,28
4423,35,4,41,9,1,3,5,3,2,1,1,40,39
13248,68,4,16,1,5,7,2,5,2,1,1,10,39
22515,50,4,16,12,3,6,1,3,2,9,1,45,39
22276,39,4,9,10,1,4,2,5,2,1,1,50,39
29726,35,4,4,8,5,5,2,5,2,1,1,20,39
18782,36,4,18,9,5,8,4,5,2,1,1,37,39
10716,57,4,18,9,3,14,1,5,2,1,1,40,39
25195,51,4,21,13,3,10,1,1,2,9,1,40,39
22507,31,6,28,9,3,3,1,5,2,1,1,45,39
5924,43,4,10,13,6,10,5,5,2,1,1,45,39
8280,55,2,3,16,5,10,2,5,1,1,1,60,39
23036,38,6,13,12,3,14,1,5,2,1,1,40,39
21376,62,4,16,11,1,12,2,5,1,1,1,40,39
6570,28,6,12,10,3,12,4,2,2,1,1,63,35
30825,21,4,23,11,5,3,4,5,2,1,1,40,39
3423,43,4,21,13,4,10,2,5,2,4,1,40,39
30339,50,4,17,13,3,12,1,5,2,1,1,40,39
2857,28,9,15,7,1,8,5,5,1,1,1,58,2
19804,47,5,9,9,3,4,1,5,2,1,1,80,39
15385,32,4,4,9,3,3,1,5,2,1,1,48,39
31218,31,4,10,9,3,5,1,5,2,4,1,45,39
4730,55,2,21,9,1,8,5,5,1,1,1,38,39
27446,32,7,19,13,5,10,4,5,1,1,1,40,39
28897,31,4,4,13,5,13,2,5,2,1,1,40,39
32520,27,4,17,9,5,8,5,5,1,1,1,64,39
27711,55,7,29,11,7,10,5,5,1,7,1,40,39
31304,42,4,15,6,3,3,1,5,2,1,1,45,39
27761,38,4,19,9,1,3,5,5,2,1,1,40,39
10472,23,4,23,10,5,8,4,5,2,1,1,25,39
11134,32,4,11,1,3,7,6,2,1,5,1,40,1
194,41,1,13,13,3,13,1,5,2,1,1,24,39
26163,66,9,31,9,3,8,1,3,2,1,1,40,39
24229,45,6,17,16,3,10,1,5,2,9,1,40,39
8445,24,4,27,10,5,1,4,3,1,1,1,20,39
8592,37,4,18,9,3,8,6,5,1,1,1,20,39
8191,40,2,10,14,5,1,2,5,1,1,2,35,39
7791,19,4,16,9,3,7,3,5,2,1,1,20,39
16523,79,9,16,9,3,8,1,5,2,1,1,40,39
4156,20,4,5,10,5,1,4,5,1,1,1,30,42
9039,18,4,16,9,5,12,4,5,1,1,1,22,39
86,49,2,26,9,3,11,1,5,2,1,1,40,39
4457,31,7,9,9,1,11,4,4,2,1,1,40,39
15760,53,7,12,14,3,4,1,5,2,1,1,60,39
21957,27,7,34,13,5,10,5,5,2,1,1,50,39
27469,19,4,22,10,5,1,2,5,1,1,1,40,39
25537,69,9,25,15,1,8,2,5,2,1,1,5,39
25486,22,4,14,10,5,8,2,5,2,1,1,15,39
16669,47,4,16,9,3,14,1,5,2,1,2,45,39
27835,32,4,17,9,5,3,3,5,2,1,1,50,39
3999,28,4,12,4,3,3,1,5,2,1,1,30,39
27512,39,4,8,3,3,8,1,2,2,1,1,40,30
4522,27,4,22,10,5,1,2,5,1,1,1,40,39
24223,44,2,17,11,3,3,1,5,2,8,1,40,39
30430,29,2,11,11,3,11,1,5,2,8,1,40,39
6936,25,4,3,13,5,4,2,5,2,1,2,60,39
7280,27,1,24,9,3,8,1,5,2,1,1,40,39
18764,52,5,56,14,1,4,2,3,1,1,1,50,39
28812,36,6,32,3,3,14,1,5,2,1,1,50,26
12018,45,4,17,16,3,10,1,5,2,8,1,50,39
30444,17,9,37,6,5,8,4,5,2,1,1,25,39
28826,21,4,20,10,5,12,4,3,1,1,1,25,39
11422,42,4,13,10,3,1,6,5,1,1,1,40,39
20385,29,2,41,12,5,1,2,5,2,4,1,40,39
2169,59,4,15,6,6,9,2,3,1,1,1,30,39
969,36,9,9,11,7,8,2,5,1,1,1,20,39
1112,37,7,6,13,5,1,2,5,2,1,1,38,39
17466,36,4,14,10,3,1,6,5,1,1,1,12,39
24715,19,4,6,8,5,5,4,5,1,1,1,30,39
17740,44,4,11,12,3,10,1,5,2,1,1,40,39
10682,27,2,33,13,5,10,2,5,1,1,1,45,39
27472,47,6,47,13,1,12,2,5,2,1,1,50,39
9616,32,9,64,9,3,8,1,5,2,1,1,40,42
9811,28,4,2,15,3,10,1,2,2,1,1,99,30
29608,41,5,11,15,3,4,6,5,1,1,3,55,39
8812,37,4,13,12,5,1,2,5,1,1,1,40,39
24498,56,4,19,5,3,3,1,5,2,1,1,40,39
26090,17,6,17,8,5,6,4,5,2,1,1,15,39
28219,44,4,15,10,7,4,2,3,1,1,1,40,39
3128,26,4,20,10,3,7,1,5,2,1,1,40,39
9212,23,1,32,9,5,10,2,5,2,1,1,40,39
28483,32,4,22,3,4,3,3,5,2,1,1,40,8
21667,41,2,16,9,1,4,4,5,2,1,1,45,39
16459,22,4,19,9,3,12,6,5,1,1,1,40,39
368,57,4,21,13,1,4,2,5,1,1,1,45,39
1717,41,4,23,14,3,10,1,2,2,1,1,45,3
31697,38,4,39,10,3,3,1,2,2,1,1,40,39
4031,36,4,18,9,3,10,1,5,2,1,2,40,39
18256,20,4,5,10,5,6,4,5,2,1,1,20,39
1118,58,2,20,13,3,10,6,5,1,1,1,40,39
30214,52,4,30,10,1,4,5,5,1,1,1,40,39
18896,48,4,10,9,1,4,5,2,1,1,1,40,39
28944,45,2,5,14,3,10,1,5,2,1,1,50,39
27732,50,4,10,9,5,1,2,5,2,1,2,40,39
17435,69,6,2,4,5,5,3,5,2,2,1,10,39
1716,42,4,19,13,1,1,2,5,1,1,1,40,39
27090,34,2,20,14,5,10,2,5,2,1,1,35,39
31472,27,4,18,8,5,8,2,5,2,1,1,40,39
26460,32,4,17,9,5,8,2,3,1,1,1,40,42
27499,34,4,15,13,3,4,1,5,2,1,1,50,39
3787,26,4,7,10,2,11,1,5,2,1,1,40,39
17898,54,4,34,10,3,3,6,5,1,1,1,40,39
14186,25,4,25,4,3,3,1,5,2,1,1,40,26
11071,58,4,43,6,3,14,1,5,2,1,1,50,39
8538,27,4,33,13,3,13,6,5,1,1,1,40,39
1411,43,5,19,9,3,8,1,2,2,1,1,78,37
13610,40,6,17,9,3,14,1,5,2,1,1,75,39
22727,26,4,10,13,5,12,2,5,1,1,1,40,39
21055,55,4,14,10,1,1,5,5,1,5,1,20,39
19385,40,6,11,9,3,3,1,5,2,1,1,30,39
29558,64,4,21,13,1,4,2,5,2,10,1,55,39
10238,20,4,20,9,5,6,4,5,2,1,1,40,39
3313,23,4,22,13,5,10,4,5,1,1,1,38,39
8156,51,2,13,9,3,4,6,5,1,1,1,32,39
21013,35,4,18,14,3,10,1,5,2,1,2,40,39
28626,38,4,4,13,3,10,1,5,2,8,1,60,39
9520,58,4,22,13,1,14,2,5,2,1,1,45,39
3469,50,4,40,10,3,12,1,5,2,1,1,60,39
11832,34,4,33,9,6,6,5,5,1,1,1,40,39
4868,22,4,16,10,5,12,3,5,2,1,1,65,39
8793,57,4,3,9,3,3,1,3,2,1,1,52,39
28179,21,4,33,10,3,8,1,5,2,1,1,50,39
7248,44,4,22,11,3,4,1,3,2,1,1,40,39
10269,40,6,28,15,3,10,1,1,2,1,2,60,39
4640,44,6,14,10,5,3,4,5,2,1,1,12,39
22375,46,2,16,10,3,11,1,5,2,1,1,70,39
31927,60,4,18,7,3,3,1,5,2,1,1,40,39
22759,56,4,18,9,3,7,1,5,2,1,1,40,39
18730,65,9,31,9,7,8,5,5,1,3,1,75,39
27044,32,4,16,13,3,3,1,5,2,1,1,44,39
21014,53,1,8,13,3,4,1,5,2,1,1,48,39
21530,55,4,46,13,3,10,1,5,2,1,1,60,39
2260,25,4,7,9,5,14,4,5,2,1,1,40,39
9057,27,4,16,13,3,10,1,5,2,1,1,40,39
5967,21,4,9,11,5,14,4,5,2,1,1,40,39
5025,57,5,28,9,3,12,1,5,2,1,1,40,5
24636,24,9,3,13,1,8,2,5,1,1,1,40,39
11794,36,4,27,13,1,12,4,5,1,1,1,40,39
22837,24,4,6,9,5,8,4,3,2,1,1,40,39
20464,57,6,27,4,3,10,1,5,2,1,1,40,42
29880,60,4,14,9,3,3,1,5,2,1,1,50,39
22270,19,4,21,9,5,6,3,4,1,1,1,60,13
27391,24,4,20,12,5,7,4,5,2,1,1,40,39
10800,21,7,3,10,5,13,2,5,1,1,1,50,39
14834,42,4,24,9,3,14,1,5,2,1,2,43,39
356,65,4,16,7,7,8,5,4,2,1,1,40,39
30918,61,7,37,16,3,10,1,5,2,1,2,40,39
25980,50,9,25,5,3,8,1,5,2,1,1,50,39
23480,51,4,5,9,4,8,5,5,1,1,1,40,39
22020,42,2,28,13,5,10,2,5,2,1,1,50,39
8417,36,4,17,9,7,6,5,5,1,1,1,30,39
1313,51,4,17,9,1,1,5,5,1,1,1,40,39
10247,21,4,19,9,3,6,1,5,2,1,1,32,39
6628,49,4,12,7,3,14,1,5,2,1,1,75,39
12548,32,4,34,10,3,12,1,3,2,1,1,65,39
32135,48,4,17,9,1,4,2,5,1,1,3,40,39
17731,26,4,36,9,5,3,4,5,2,1,1,40,39
11250,38,4,12,10,3,6,6,5,1,1,1,35,39
25816,31,4,12,10,6,12,5,2,2,1,1,40,35
8296,27,4,15,10,3,7,1,5,2,1,1,45,39
8183,47,4,25,9,3,14,1,5,2,1,1,48,39
23687,37,4,18,9,3,8,1,5,2,1,1,45,42
11315,66,4,18,13,3,3,1,2,2,1,1,30,30
27108,39,4,22,14,5,10,2,5,2,1,1,40,39
17882,50,9,28,10,3,8,1,5,2,1,1,40,39
27329,29,4,16,14,3,10,6,2,1,1,1,40,17
19221,30,2,14,10,5,11,2,3,2,1,2,40,39
25362,26,4,10,9,5,3,4,5,2,4,1,40,39
2660,48,4,10,9,3,3,1,5,2,1,1,45,39
2045,17,6,6,6,5,1,4,5,2,1,1,10,39
20222,43,2,17,14,3,10,1,5,2,1,1,50,39
24176,39,7,21,10,6,10,5,3,1,1,1,37,39
26445,28,4,29,8,1,5,2,5,2,1,1,40,39
9139,25,4,25,11,5,1,2,5,1,1,1,40,39
4850,60,6,37,9,3,3,1,5,2,1,1,42,39
9565,36,6,21,13,5,12,2,3,1,3,1,50,39
5759,46,4,31,11,1,13,3,5,1,1,1,36,39
15666,38,4,4,13,3,10,1,5,2,1,1,40,9
31563,36,4,10,9,3,13,1,5,2,1,1,50,39
1248,34,4,19,9,3,1,6,5,1,1,1,40,39
18965,45,4,37,10,1,13,2,5,1,1,1,45,39
20049,58,4,17,10,5,5,2,5,2,1,1,40,39
15427,35,4,14,10,5,7,2,5,2,1,2,40,39
13022,54,4,25,4,1,7,2,5,2,1,1,40,13
13164,39,4,15,11,3,1,1,5,2,1,1,40,39
17348,44,4,21,13,6,7,5,3,1,1,1,7,39
7432,46,4,11,10,3,13,1,5,2,1,2,45,39
23722,58,4,14,3,3,7,1,5,2,1,1,40,22
14926,19,4,22,10,5,12,4,5,1,1,1,20,39
23876,54,1,33,8,3,1,1,5,2,1,1,40,39
13983,44,4,26,14,3,3,1,5,2,9,1,45,39
21119,53,1,18,9,1,13,5,5,2,1,1,40,39
16539,36,4,22,13,3,10,1,5,2,1,1,40,39
16136,69,9,15,7,3,8,1,5,2,1,1,48,39
6876,43,2,18,14,3,10,1,5,2,1,1,40,39
29231,30,4,26,9,5,4,2,5,1,1,1,40,39
30781,66,9,18,10,7,8,5,3,1,1,4,40,39
21428,19,9,21,9,5,8,4,5,1,1,2,30,39
11660,45,1,15,10,3,10,1,5,2,1,1,40,39
6560,26,7,20,15,5,10,2,2,2,3,1,50,19
14167,32,7,43,10,3,10,6,3,1,1,1,40,39
13770,40,4,27,12,1,4,2,5,1,1,1,40,39
26639,35,1,4,13,3,10,1,5,2,8,1,40,39
13571,34,4,18,9,3,6,1,5,2,1,1,70,39
15262,47,1,2,13,3,3,1,5,2,1,2,40,39
6429,41,4,28,14,3,4,1,5,2,9,1,70,39
27080,27,4,29,9,1,13,2,5,1,1,1,45,39
20156,18,4,27,9,5,7,4,5,1,1,1,40,39
31468,35,4,7,14,3,10,1,3,2,8,1,40,42
11230,66,5,25,9,3,12,1,5,2,1,2,10,39
9766,34,4,18,13,3,4,1,5,2,1,2,45,39
2031,63,6,16,10,3,10,6,5,1,10,1,10,39
4041,44,1,40,9,1,1,5,3,1,1,1,40,39
20870,44,2,19,11,5,13,2,5,2,1,2,40,39
9397,46,4,31,10,3,12,1,5,2,1,3,50,39
19115,45,4,12,10,3,8,1,5,2,1,1,40,39
28728,36,4,26,10,3,12,1,3,2,8,1,50,39
22706,24,4,44,13,5,12,4,5,2,1,1,40,39
6350,37,4,8,10,1,1,5,5,1,1,1,45,39
14934,33,4,18,11,3,12,1,5,2,1,1,36,39
13712,18,4,2,9,5,12,4,5,1,1,1,25,39
14877,60,4,22,2,1,3,2,4,2,1,1,38,6
20341,21,4,12,10,5,8,4,5,1,1,1,60,39
16216,20,4,37,9,5,8,3,4,2,1,1,40,26
19733,58,1,24,13,6,10,2,5,2,5,1,40,39
12530,39,4,19,9,5,1,4,5,1,1,1,40,39
1629,36,9,20,12,3,8,6,3,1,1,1,21,14
29903,30,7,11,10,5,10,2,5,2,1,1,40,39
13327,49,4,7,9,5,1,4,2,1,1,1,40,39
4282,31,4,30,10,3,12,6,3,1,1,1,40,39
4551,25,7,26,9,5,10,2,5,2,1,1,40,39
4763,31,1,20,13,1,11,2,5,2,1,1,50,39
21066,42,6,43,12,3,14,1,5,2,1,1,50,39
9102,68,4,20,10,1,1,5,5,1,1,1,40,39
6696,22,4,23,10,5,1,4,5,1,1,1,25,39
24065,36,4,6,13,3,12,1,5,2,1,1,40,39
26893,25,4,21,13,3,4,1,5,2,1,1,43,39
30458,51,4,9,9,3,3,1,5,2,1,1,40,39
26343,41,4,22,13,3,12,1,5,2,9,1,45,39
15446,44,1,20,11,1,13,2,5,2,1,1,40,39
23899,47,4,18,9,3,8,6,5,1,1,1,38,39
28019,35,4,34,12,5,1,2,5,1,1,1,35,39
29560,42,1,3,13,3,4,1,5,2,8,1,50,39
2901,67,5,10,13,3,4,1,5,2,1,3,75,39
22697,53,4,9,13,3,4,1,5,2,1,1,44,39
13711,56,9,15,10,1,8,5,5,1,1,1,50,39
21494,28,6,28,9,1,3,2,5,2,1,1,35,39
30715,31,4,12,13,3,12,1,5,2,1,1,65,39
23850,37,4,9,6,1,4,5,5,1,1,1,35,39
25477,43,4,40,9,3,3,1,5,2,1,1,40,39
9805,30,5,18,10,3,4,6,5,1,1,1,25,39
827,39,4,68,9,6,7,5,5,1,1,1,24,39
28072,46,2,17,14,3,10,1,5,2,1,1,40,39
18028,50,4,19,12,3,4,1,5,2,1,1,50,39
22550,44,4,17,9,6,8,5,5,1,1,1,39,39
302,31,4,21,9,3,14,1,5,2,1,1,45,39
24977,23,4,22,9,3,7,1,5,2,1,1,40,39
14918,65,4,20,9,1,11,2,5,2,1,1,20,39
1640,52,4,15,9,1,8,3,3,1,1,1,38,39
26989,51,6,2,10,3,3,1,5,2,1,1,40,39
9529,58,2,14,14,3,10,1,5,2,1,1,40,39
11159,33,9,31,10,3,8,6,5,1,1,1,50,39
11246,27,1,27,10,3,13,1,5,2,1,1,40,39
22312,37,6,13,7,5,5,4,5,2,1,1,37,39
7813,47,4,18,7,3,1,1,5,2,1,2,58,39
17296,31,4,65,9,5,12,4,5,1,1,2,30,39
7814,26,4,8,13,5,4,2,5,1,1,1,50,39
27350,17,9,21,7,5,8,4,3,1,1,1,20,39
22377,37,4,16,9,3,3,1,5,2,1,1,40,39
14494,32,4,2,9,3,7,1,5,2,6,1,40,39
20819,30,4,34,13,5,10,2,5,2,9,1,45,39
28139,54,4,17,14,1,13,2,5,2,1,1,40,39
18196,33,4,26,10,3,4,1,5,2,1,1,40,5
18355,43,4,20,9,6,6,5,3,1,1,1,45,39
28914,45,4,9,4,3,7,1,3,2,1,1,40,39
22840,56,4,22,10,3,12,1,5,2,1,1,45,39
13117,36,4,54,9,5,1,3,5,1,3,1,40,27
29358,35,4,13,10,1,4,2,5,1,1,1,40,39
7934,43,4,90,10,3,8,1,5,2,1,1,48,39
8248,23,4,9,13,3,8,1,5,2,1,1,20,39
12810,47,4,11,7,3,8,1,5,2,1,1,40,39
26530,38,6,6,11,1,8,5,5,1,1,1,40,39
17217,24,4,19,10,3,14,1,5,2,1,1,65,39
7004,61,6,2,9,7,8,3,5,1,1,1,40,39
4370,29,4,20,10,3,7,1,5,2,1,1,38,39
6892,37,6,25,10,5,10,2,3,2,1,1,40,39
30488,55,7,18,10,1,10,2,3,1,1,1,37,39
19295,27,4,19,13,5,11,4,5,1,1,1,40,39
15872,49,7,19,13,1,10,2,5,2,1,1,40,39
11251,29,4,35,4,3,5,1,5,2,1,1,40,39
2554,36,4,4,9,3,4,1,5,2,1,1,40,39
30855,24,4,29,9,3,6,1,5,2,1,1,40,39
17064,19,4,21,10,5,12,4,5,1,1,1,25,39
1075,19,6,3,10,5,3,4,5,2,1,1,20,39
18125,33,6,4,11,3,5,1,5,2,1,1,65,39
6702,24,4,53,9,3,4,1,5,2,1,1,50,39
5783,26,1,16,10,5,13,4,5,1,1,1,40,39
1681,26,4,23,9,3,7,1,5,2,1,1,60,39
30877,27,4,36,9,5,6,2,3,2,1,1,40,39
16222,40,4,27,9,5,12,4,3,2,1,1,40,39
32096,25,4,39,11,5,3,4,5,2,1,1,40,39
7208,30,4,15,10,3,7,1,5,2,1,1,40,39
21107,33,4,17,8,1,3,2,5,2,1,3,42,39
4014,35,2,19,9,5,11,4,5,2,1,1,40,39
15470,42,4,17,11,3,4,6,5,1,8,1,35,39
30421,24,4,43,9,3,3,1,5,2,3,1,50,39
3214,22,4,19,10,5,1,4,5,2,1,1,35,39
6818,44,4,12,9,3,7,1,3,2,1,1,40,39
26968,26,4,12,9,3,8,1,5,2,1,1,50,39
24402,30,2,9,11,1,11,5,1,1,1,1,40,39
20814,56,1,15,10,6,8,2,3,2,1,1,40,39
25344,18,4,11,9,5,1,4,5,1,1,1,30,39
25452,45,4,10,9,1,8,2,5,2,1,2,40,39
21976,34,6,19,15,3,10,1,5,2,1,1,35,39
15386,45,4,22,10,1,4,5,5,1,1,1,40,39
1145,33,4,35,14,3,10,1,5,2,9,1,44,39
24202,29,7,6,9,5,8,2,2,2,1,1,40,37
21330,33,4,17,10,5,1,2,5,2,1,1,49,39
511,53,9,25,3,7,8,5,3,1,1,1,30,39
30584,18,9,5,9,5,8,4,2,1,1,2,38,39
27507,65,9,19,6,3,8,1,5,2,1,1,70,39
6427,39,4,38,9,5,8,2,5,2,1,1,18,39
21722,49,4,14,1,3,8,1,5,2,1,1,40,42
32490,60,9,13,5,1,8,2,3,2,1,1,35,39
14714,29,4,6,13,3,10,1,5,2,1,1,40,39
16343,43,4,18,11,1,10,2,5,2,1,1,48,39
29468,43,2,18,13,1,4,5,5,2,1,1,42,11
465,37,4,12,9,3,1,6,5,1,1,1,60,39
26135,28,7,20,14,3,4,6,5,1,1,1,40,39
26166,57,1,31,10,3,10,1,1,2,1,1,40,39
24403,24,4,18,10,5,12,4,5,1,1,1,17,39
14489,23,4,26,11,5,13,2,5,2,1,1,40,39
28259,60,6,9,10,3,14,1,5,2,4,1,46,39
21973,23,4,23,9,3,8,1,5,2,1,1,50,39
3218,36,4,22,13,3,12,1,5,2,1,1,50,39
14111,37,4,16,10,1,7,2,5,2,1,1,40,39
13855,50,4,6,10,3,12,1,5,2,1,1,60,39
17814,38,4,13,9,1,7,3,5,1,1,1,40,39
4983,34,4,11,15,3,10,1,5,2,1,1,50,39
11669,35,4,24,9,5,8,2,5,2,4,1,50,39
21952,17,4,21,7,5,8,4,5,1,1,1,30,39
15905,62,6,15,9,3,5,1,5,2,1,1,35,39
26202,46,4,25,13,3,4,1,5,2,1,1,60,39
31814,80,6,2,4,5,5,5,5,2,1,1,20,39
21520,29,4,13,11,3,3,1,2,2,1,1,40,25
19968,45,4,14,14,3,4,1,5,2,1,2,43,39
1155,34,4,11,10,3,5,1,5,2,1,1,54,26
26172,59,5,14,11,1,10,2,5,2,1,1,50,39
4174,17,9,11,7,5,8,4,5,1,1,1,18,39
13882,33,4,32,9,1,12,2,5,1,1,1,50,39
3935,17,4,20,7,5,12,4,5,1,1,1,35,39
21131,58,4,24,4,7,8,2,4,1,1,1,30,39
16206,30,4,23,10,3,3,1,5,2,1,1,40,39
27249,28,4,5,10,5,13,4,3,2,1,1,24,39
7780,39,4,19,13,1,4,2,5,2,1,1,50,39
18879,49,4,29,13,3,3,1,5,2,1,1,40,39
28514,51,4,20,13,6,1,5,5,1,1,1,40,39
26931,28,4,9,9,3,1,1,3,2,1,1,40,39
31214,21,4,22,10,5,12,3,3,1,1,1,20,39
